track_id,track_name,artist,album_name,popularity,release_date
2K7xn816oNHJZ0aVqdQsha,Softcore,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,81,2018-11-02
6SpLc7EXZIPpy0sVko0aoU,Misery Business,Paramore,Riot!,71,2007-06-11
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,Hybrid Theory (Bonus Edition),82,2000-10-24
2uXlHCUbq9OMUwx3hrk06o,Riptide,Vance Joy,Dream Your Life Away (Deluxe Edition),78,2014-08-05
4IadxL6BUymXlh8RCJJu7T,Too Sweet,Hozier,Unheard,73,2024-03-22
4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,WALK THE MOON,TALKING IS HARD,80,2014-12-02
6me7F0aaZjwDo6RJ5MrfBD,Evergreen,Richy Mitch & The Coal Miners,RMCM,78,2017-05-17
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,Dreamland,81,2020-08-07
3VqHuw0wFlIHcIPWkhIbdQ,Enter Sandman (Remastered),Metallica,Metallica (Remastered),71,1991-08-12
5cZqsjVs6MevCnAkasbEOX,Break Stuff,Limp Bizkit,Significant Other,77,1999
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),78,1977-02-04
5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,The Fray,How To Save A Life,78,2005-09-13
1ZozJfi8u9cO2Ob8KwiwNT,Higher,Creed,Human Clay,74,1999-01-01
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,Not Like Us,92,2024-05-04
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,90,2018-02-09
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,86,2017-07-21
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,DAMN.,84,2017-04-14
2tudvzsrR56uom6smgOcSf,Like That,Future,WE DON'T TRUST YOU,82,2024-03-22
2HbKqm4o0w5wEeEFXm2sD4,Money Trees,Kendrick Lamar,"good kid, m.A.A.d city",78,2012
3xKsf9qdS1CyvXSMEid6g8,Pink + White,Frank Ocean,Blonde,83,2016-08-20
3ESSGgWzRf1xvP7G5hHMhB,Again,Fetty Wap,Fetty Wap (Deluxe),77,2015-09-25
1XBYiRV30ykHw5f4wm6qEn,NIGHTS LIKE THIS,The Kid LAROI,THE FIRST TIME,82,2023-11-10
7DfFc7a6Rwfi3YQMRbDMau,Thinkin Bout You,Frank Ocean,channel ORANGE,81,2012-07-10
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,80,2017-04-14
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,J. Cole,2014 Forest Hills Drive,81,2014-12-09
3iVcZ5G6tvkXZkZKlMpIUs,Alright,Kendrick Lamar,To Pimp A Butterfly,79,2015-03-16
3pXF1nA74528Edde4of9CC,Don't,Bryson Tiller,T R A P S O U L,79,2015-10-02
6IZvVAP7VPPnsGX6bvgkqg,PRIDE.,Kendrick Lamar,DAMN.,81,2017-04-14
2ZWlPOoWh0626oTaHrnl2a,Ivy,Frank Ocean,Blonde,80,2016-08-20
76Ku9OBFK1NjMylR8r4WLK,Gang Baby,NLE Choppa,SLUT SZN,78,2024-09-27
0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Gorillaz,Demon Days,82,2005-05-23
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),Baby Keem,The Melodic Blue,78,2021-09-10
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,"Tyler, The Creator",IGOR,78,2019-05-17
4osgfFTICMkcGbbigdsa53,Novacane,Frank Ocean,Novacane,77,2011-01-01
